BIN,height_roof,update,delta
1088961,0,1265,1265
1089972,0,998,998
1088797,125,1064,939
1089411,0,904,904
1090526,0,781,781
1089428,187,919,732
1090115,0,727,727
1090233,0,691,691
1090495,63,741,678
3329438,0,620,620
1089722,0,609,609
1089791,0,595,595
1090642,0,553,553
1089803,0,533,533
1088841,0,497,497
4003487,133,598,465
1089701,0,456,456
1089723,0,456,456
1090190,0,444,444
1034346,54,493,439
1090174,0,424,424
1090158,0,412,412
3413765,0,407,407
1043853,67,464,397
1090711,0,387,387
1090574,0,361,361
1075787,396,42,354
1089716,0,336,336
3397861,146,469,323
1089717,0,322,322
1090397,0,321,321
1001244,41,362,321
4607280,0,319,319
3426433,0,314,314
1090920,0,313,313
1090472,0,303,303
3398591,56,348,292
1058657,52,333,281
1087911,47,326,279
3426946,0,263,263
1090417,0,260,260
4596992,278,18,260
1085726,18,274,256
1090463,0,252,252
1091585,0,252,252
3114633,0,242,242
1089688,0,240,240
1038564,151,387,236
1090545,0,235,235
1051260,0,233,233
4617681,0,233,233
1090946,0,232,232
1083353,256,26,230
1091590,1268,1039,229
1089762,0,225,225
1086088,396,175,221
1090528,0,219,219
1090546,0,215,215
3002104,0,213,213
1046293,0,210,210
1089956,77,287,210
2128547,241,31,210
1089382,0,207,207
3348849,57,260,203
1013572,51,249,198
1090399,0,193,193
3000250,49,242,193
1090009,21,213,192
4618203,0,190,190
3000479,26,215,189
1090416,95,284,189
4618349,0,184,184
1089880,0,176,176
1089474,0,173,173
3424448,0,172,172
1001105,90,262,172
4454730,194,23,171
1090203,0,170,170
1090761,0,170,170
1088687,0,168,168
1089703,0,165,165
1090671,165,329,164
3426146,0,162,162
4113393,0,162,162
4619928,10,172,162
1088982,0,161,161
3413929,0,161,161
3426518,0,160,160
4003502,14,172,158
2128557,0,157,157
1088303,0,150,150
3414138,0,150,150
1054682,60,210,150
1014279,0,149,149
4005023,38,187,149
1090879,0,144,144
4541428,0,144,144
1089833,205,349,144
4596827,19,163,144
1090878,0,143,143
1090686,189,48,141
4213968,81,222,141
1090688,189,49,140
1046253,381,241,140
2128970,0,139,139
4005015,24,162,138
2128549,241,103,138
2127284,0,136,136
2128550,241,105,136
1015729,95,231,136
3413894,0,135,135
3424573,0,135,135
2004285,0,134,134
3426833,0,134,134
4113552,0,134,134
2129358,0,133,133
1079033,73,206,133
1083034,0,132,132
2128548,241,109,132
1079032,74,206,132
3425612,0,131,131
1013491,39,170,131
3416956,0,128,128
1089387,21,149,128
3397262,0,127,127
3401675,0,127,127
3000249,18,144,126
1089961,0,125,125
3029639,52,177,125
3421409,0,124,124
3426616,60,182,122
1089837,0,121,121
4607281,290,169,121
2127131,0,120,120
3398446,0,118,118
3400722,0,118,118
4615173,250,132,118
4005129,0,116,116
1090164,0,115,115
2128327,0,114,114
4617434,0,114,114
1089832,0,111,111
1090118,0,111,111
4615211,0,111,111
1084666,0,110,110
1087858,0,110,110
1018013,145,255,110
4004953,0,108,108
3403907,29,137,108
1090338,0,107,107
1089785,0,106,106
1090537,0,106,106
1001937,108,213,105
3425163,0,104,104
4004411,0,103,103
4000746,31,134,103
1090398,0,101,101
3426069,0,101,101
1001063,147,248,101
2129282,237,136,101
1088748,28,128,100
1007348,0,99,99
1090484,0,99,99
3426652,0,99,99
3393703,15,114,99
2130601,80,179,99
1089859,0,98,98
1090822,0,98,98
3010007,0,98,98
4618757,0,98,98
