bin,oti_height_roof,planimetrics_height_roof,height_difference,planimetrics_spot_height_calc,planimetrics_height_range
1088797,125,1064,939,1065,1
3000370,1035,110,926,110,1
1089428,187,919,733,924,5
1090495,63,741,678,737,4
4003487,133,598,465,597,1
1034346,54,493,439,492,1
1090972,504,97,407,106,9
1043853,67,464,397,448,16
1045277,384,15,370,16,2
1075787,396,42,355,18,24
3397861,146,469,323,469,1
1001244,41,362,320,362,1
3398591,56,348,292,349,1
1058657,52,333,280,328,5
1090579,375,96,279,84,12
1087911,47,326,278,326,1
1038564,151,428,276,425,3
1085726,18,280,262,279,1
4596992,278,18,260,-3,22
1091590,1268,1009,260,1002,8
1050634,304,46,259,49,3
1083353,256,26,229,27,2
3000479,26,252,226,254,2
1086088,396,175,221,174,2
1089956,77,287,210,284,3
2128547,241,31,210,36,5
3348849,57,260,203,257,4
1089811,240,42,199,46,4
4619386,273,77,196,68,10
3000250,49,242,193,241,2
1090009,21,213,192,210,3
1085588,312,122,190,137,16
1090416,95,284,189,284,1
1001105,90,262,172,264,3
4454730,194,23,171,26,3
1090671,165,329,164,324,6
1003549,180,16,164,15,2
4619928,10,172,161,172,1
4003502,14,172,158,174,2
1054682,60,211,151,213,2
4005023,38,187,149,187,1
1089833,205,349,144,352,3
4596827,19,163,143,160,3
1090686,189,48,141,44,4
1090688,189,49,141,44,5
1046253,381,241,140,241,1
4213968,81,222,140,223,2
4005015,24,162,138,160,3
2128549,241,103,138,107,4
2128550,241,105,137,108,4
1015729,95,231,136,234,3
1013491,39,174,136,169,6
1079033,73,206,133,203,4
2128548,241,109,132,116,8
1079032,74,206,132,203,4
1089387,21,149,127,151,2
3000249,18,144,126,143,2
3029639,52,177,125,162,15
3426616,60,182,122,186,4
3396771,150,29,121,28,2
4607281,290,169,121,170,2
1019926,26,146,120,147,1
4615173,250,137,114,137,1
3061527,16,127,111,113,15
1018013,145,255,110,250,5
3403907,29,137,108,134,3
4539469,195,86,108,86,1
3071205,98,206,108,207,1
1001937,108,213,105,215,2
4439234,149,47,103,49,3
4000746,31,134,103,137,3
1001063,147,248,101,246,2
2129282,237,136,101,126,11
1088748,28,128,100,128,1
3393703,15,114,99,110,5
2130601,80,179,99,179,1
1091605,250,151,99,154,4
1089931,58,156,98,150,7
3138223,149,51,98,49,2
1015022,63,160,98,154,6
