bin,oti_height_roof,planimetrics_height_roof,planimetrics_spot_height_calc,decision
1088797,125,1064,1065,1064
3000370,1035,110,110,1035
1089428,187,919,924,919
1090495,63,741,737,741
4003487,133,598,597,598
1034346,54,493,492,493
1090972,504,97,106,504
1043853,67,464,448,464
1045277,384,15,16,384
1075787,396,42,18,42
3397861,146,469,469,469
1001244,41,362,362,362
3398591,56,348,349,348
1058657,52,333,328,333
1090579,375,96,84,375
1087911,47,326,326,326
1038564,151,428,425,387
1085726,18,280,279,274
4596992,278,18,-3,18
1091590,1268,1009,1002,1039
1050634,304,46,49,304
1083353,256,26,27,26
3000479,26,252,254,215
1086088,396,175,174,175
1089956,77,287,284,287
2128547,241,31,36,31
3348849,57,260,257,260
1089811,240,42,46,240
4619386,273,77,68,273
3000250,49,242,241,242
1090009,21,213,210,213
1085588,312,122,137,312
1090416,95,284,284,284
1001105,90,262,264,262
4454730,194,23,26,23
1090671,165,329,324,329
1003549,180,16,15,180
4619928,10,172,172,172
4003502,14,172,174,172
1054682,60,211,213,210
4005023,38,187,187,187
1089833,205,349,352,349
4596827,19,163,160,163
1090686,189,48,44,48
1090688,189,49,44,49
1046253,381,241,241,241
4213968,81,222,223,222
4005015,24,162,160,162
2128549,241,103,107,103
2128550,241,105,108,105
1015729,95,231,234,231
1013491,39,174,169,170
1079033,73,206,203,206
2128548,241,109,116,109
1079032,74,206,203,206
1089387,21,149,151,149
3000249,18,144,143,144
3029639,52,177,162,177
3426616,60,182,186,182
3396771,150,29,28,150
4607281,290,169,170,169
1019926,26,146,147,26
4615173,250,137,137,132
3061527,16,127,113,109
1018013,145,255,250,255
3403907,29,137,134,137
4539469,195,86,86,195
3071205,98,206,207,98
1001937,108,213,215,213
4439234,149,47,49,149
4000746,31,134,137,134
1001063,147,248,246,248
2129282,237,136,126,136
1088748,28,128,128,128
3393703,15,114,110,114
2130601,80,179,179,179
1091605,250,151,154,250
1089931,58,156,150,156
3138223,149,51,49,51
1015022,63,160,154,148
3072742,30,128,127,128
3335934,40,137,131,137
1012975,25,120,120,120
2114490,30,120,126,120
2104250,115,24,20,24
4539692,26,116,114,116
1090148,73,161,160,73
3062015,110,22,22,22
1013572,51,138,137,249
1001487,15,102,102,102
4540101,112,26,26,112
1081314,132,219,217,219
3118894,12,98,89,98
2001004,12,98,100,98
4619269,17,101,79,101
3426952,123,41,46,41
3420391,73,156,157,156
3072744,15,97,96,97
1013652,155,236,236,236
3181120,14,94,80,94
3111280,15,95,96,95
3018775,13,94,91,94
4005366,21,101,104,101
3204947,12,91,87,91
4032013,16,96,98,96
3397047,13,92,96,92
3068012,15,93,89,93
1089936,197,118,120,118
1091569,196,274,276,274
1088494,28,106,105,106
3426951,123,45,46,45
1088551,47,124,124,124
3139741,13,87,83,87
4080234,18,92,94,92
4540141,21,95,94,95
1027112,16,88,83,16
4006365,15,87,87,87
3070879,13,85,78,85
1089346,56,128,127,128
1008760,17,88,82,88
3335899,209,280,279,280
1089710,107,37,29,107
3421826,10,80,78,80
1012290,64,134,134,134
3116055,14,84,86,84
1002735,86,156,158,156
3006603,33,102,104,102
3335871,164,95,98,95
3420465,10,80,80,80
2129132,210,279,259,279
1052559,16,85,78,85
3116577,15,83,84,83
3426388,154,87,77,87
3426400,120,53,54,53
1048779,168,101,102,168
1087083,260,194,194,260
3413700,10,77,78,77
1090888,166,100,102,
3059184,35,102,97,
3001482,144,78,73,
3051546,15,81,74,
3069609,12,77,66,
4195985,31,96,97,
3426187,110,47,45,
3424201,120,57,51,
4195986,17,80,80,
3203146,20,83,85,
3337685,15,78,79,
2007362,28,91,91,
3043944,15,78,80,
3009234,18,80,74,
3424202,120,59,51,
3048088,116,54,55,
3799238,13,75,77,
3424203,120,58,51,
3338175,10,72,74,
3035681,120,59,51,
4112123,89,28,27,
4008485,24,85,61,
4038418,19,80,74,
3400161,14,74,69,
3068086,17,77,77,
3396896,17,77,80,
3060902,16,76,77,
1087313,424,365,366,
1088640,86,147,145,
1001086,142,202,201,
3247039,14,74,75,
3028954,12,72,74,
3120467,35,93,96,
3338650,14,73,74,
1020597,84,144,144,
3124971,23,81,82,
3065463,25,82,73,
3065463,25,82,84,
2129192,179,121,128,
3124934,23,81,82,
3049578,13,71,73,
3071317,22,80,81,
1001134,341,398,395,
3424213,16,74,75,
3346390,11,68,70,
3055183,20,76,78,
3210671,37,94,93,
3118197,10,67,69,
3398669,14,72,71,
4004535,16,73,53,
3118196,11,68,69,
3398459,19,77,67,
1007816,48,105,104,
3425126,18,74,78,
1005569,38,94,88,
1063574,52,109,104,
3068064,12,68,70,
3118198,10,66,67,
4213816,23,80,79,
4435521,25,81,81,
3116762,28,83,85,
3180868,31,86,85,
3068246,33,88,88,
1080063,95,150,133,
1050732,65,121,125,
3130451,30,85,87,
