bin,doitt_id,created_date,last_edited_date,planimetrics_height
1090182,1282550,2017-10-03,2019-01-22,85.97044393
1090822,1289927,2019-06-26,2019-12-04,97.82570287
1089839,1273017,,2017-08-10,61.56327273
1088645,1284012,2018-02-26,2018-02-26,85.9963861
1089961,1282980,2017-11-22,2017-11-22,124.02135605
1090159,1284915,2018-05-24,2018-05-24,81.10247469
1091585,1294644,2021-06-09,2022-03-21,251.21064666
1090164,1282498,2017-10-02,2017-10-02,114.34601491
1088841,1281401,2017-06-29,2019-01-22,496.60389312
1014279,1284914,2018-05-24,2018-05-24,148.15980969
1090160,1288435,2019-02-15,2019-08-16,20.92210112
1090399,1282494,2017-10-02,2017-10-02,192.80287925
1004520,1291862,2020-01-17,2020-01-17,66.72986633
1090418,1283979,2018-02-23,2018-02-23,63.68591885
1090642,1288512,2019-02-27,2019-08-16,552.44437066
1089362,1285262,2018-06-26,2022-04-07,84.15705299
1090864,1285264,2018-06-26,2020-03-24,38.70043404
1007348,1282740,2017-11-01,2017-11-01,98.53989842
1089762,1273007,,2019-01-22,224.77370182
1089763,1282738,2017-11-01,2017-11-01,59.59884408
1089764,1282739,2017-11-01,2018-12-07,60.28481433
1089765,1282736,2017-11-01,2017-11-01,55.57107363
1089766,1282737,2017-11-01,2017-11-01,54.45134927
1090203,1279322,2017-03-17,2022-09-21,169.9648053
1089972,1293489,2020-11-18,2023-11-02,997.79165407
1026799,1285257,2018-06-26,2018-06-26,68.95482133
1090841,1288658,2019-03-13,2019-08-16,16.72941304
1088303,1276592,,2017-08-22,149.12971657
1089854,1273014,,2018-05-14,49.61796398
1090420,1282896,2017-11-17,2017-11-17,81.16684512
1088982,1272393,,2017-08-22,160.54118739
1089784,1271104,,2017-08-22,19.09857995
1090839,1288660,2019-03-13,2019-08-16,30.81657255
1090852,1288661,2019-03-13,2019-08-16,28.39575971
1090837,1288662,2019-03-13,2019-08-16,20.15605388
1089690,1281874,2017-08-10,2019-01-22,54.61862681
1084666,1272494,,2017-08-22,109.73173597
1088961,1284821,2018-05-21,2019-01-22,1264.91057477
1089688,1280932,2017-05-17,2017-08-22,239.39670143
1089870,1272959,,2017-08-22,60.56126946
1089803,1272481,,2017-08-22,532.84733718
1089722,1272399,,2017-08-22,608.89307231
1089837,1273011,,2018-08-22,120.72914778
1080207,1286081,2018-08-10,2018-08-10,41.08463373
1090590,1286950,2018-10-01,2018-10-01,16.92563911
1089856,1286989,2018-10-03,2018-10-03,56.4816336
1089857,1286990,2018-10-03,2018-10-03,55.57912248
1089838,1273013,,2017-08-22,92.56689284
1090537,1283912,2018-02-20,2019-12-04,105.6701121
1089723,1272858,,2018-12-07,455.83432909
1089861,1272866,,2018-07-25,9.54373279
1090215,1279527,2017-03-31,2018-12-07,28.37969957
1088258,1276684,,2017-08-10,7.91650414
1088687,1272517,,2018-08-29,167.96050904
1090167,1276244,,2017-08-22,14.149294
1090640,1285174,2018-06-19,2019-12-04,69.16151976
1089855,1286988,2018-10-03,2018-10-03,55.44142882
1089382,1280934,2017-05-18,2017-08-22,206.55331869
1090696,1286113,2018-08-13,2018-08-13,83.07003786
1090324,1281569,2017-07-18,2018-01-08,72.91187579
1090166,1276102,,2017-08-22,1.28799274
1084590,1273247,,2017-08-10,6.49151969
1082663,1273270,,2017-08-22,11.9538085
1006763,1273272,,2017-08-22,16.06949069
1089832,1273009,,2018-06-11,110.67383045
1089848,1273015,,2017-08-10,49.41633774
1089849,1273016,,2017-08-10,67.68655857
1090433,1283175,2017-12-05,2017-12-08,77.38499483
1090430,1283177,2017-12-05,2017-12-05,16.39512694
1090427,1283179,2017-12-05,2017-12-05,42.08368698
1090428,1283168,2017-12-05,2017-12-05,28.91552164
1090431,1283171,2017-12-05,2017-12-05,24.9893054
1090394,1283172,2017-12-05,2017-12-05,27.15789537
1090429,1283173,2017-12-05,2017-12-05,28.7739969
1090432,1283174,2017-12-05,2017-12-05,67.54100631
1090098,1282987,2017-11-22,2017-11-22,75.18465947
1090470,1281236,2017-06-12,2019-02-15,89.37583968
1089703,1264337,,2018-07-25,164.9393205
1090299,1281894,2017-08-11,2018-12-13,77.29726829
1090715,1284010,2018-02-26,2018-10-03,64.64399104
1090517,1283804,2018-02-12,2023-12-12,9.27079035
1046293,1285260,2018-06-26,2018-06-26,209.71672136
1090484,1285266,2018-06-26,2018-06-26,98.43569529
1090771,1283864,2018-02-15,2018-12-20,44.73925896
1090338,1281783,2017-07-27,2017-08-22,106.84171428
1043908,1284966,2018-05-29,2018-05-29,80.50820472
1090505,1283744,2018-02-09,2018-02-12,10.63034816
1078922,1273248,,2017-08-10,10.12598008
1090761,1295339,2021-09-08,2021-09-08,169.106172
1043909,1284967,2018-05-29,2018-05-29,80.93002288
1090546,1283687,2018-02-08,2018-02-08,214.750143
1090545,1283688,2018-02-08,2018-02-08,234.03962068
1024961,1283718,2018-02-09,2023-12-12,13.65614427
1086891,1283740,2018-02-09,2023-12-12,12.81973505
1090506,1283745,2018-02-09,2018-02-09,52.92917316
1090507,1283771,2018-02-12,2023-12-12,13.6639367
1090510,1283781,2018-02-12,2018-02-12,18.56762883
1090118,1283466,2018-01-03,2018-01-03,110.459505
1088067,1281393,2017-06-28,2017-08-22,19.0624541
1089878,1273005,,2021-03-18,19.418162
