bin,planimetrics_height,planimetrics_spot_height_calc,height_diff
1089411,904,883,21
1090158,412,382,30
4618203,190,167,23
4113393,162,141,22
2129358,133,105,29
4615211,111,87,24
1090338,107,81,27
2128906,97,74,23
4798021,81,34,48
3421640,81,57,25
4798020,80,35,46
4798023,79,51,28
3418179,78,53,25
1090433,78,29,49
3083106,76,53,23
1090855,75,2,73
2128714,73,49,24
3418180,73,48,25
3413699,67,43,24
3413886,61,36,26
4798022,61,33,28
1090854,56,1,56
4618535,54,34,21
1090506,53,-52,106
4798015,46,23,24
5799501,44,18,26
5170614,42,22,21
4617788,40,-3,44
5799516,40,19,21
1795044,37,317,280
3421441,35,4,32
3413707,35,5,31
1795007,35,295,260
4044380,33,13,21
5164133,32,59,28
5164135,31,57,27
5164134,31,58,28
1090215,29,-3,32
2026604,27,3,25
4798016,19,-5,25
4597088,19,-4,23
2026602,18,-8,26
3322112,10,12,2
4618446,10,30,21
4617938,10,-16,27
4615625,10,8,3
3425825,10,12,2
3425824,10,11,1
4617738,10,13,4
5169222,10,8,3
2024794,10,16,6
3037822,10,15,5
4617939,10,-16,27
4615210,10,-2,13
5170513,10,11,2
1089861,10,13,3
5156988,10,12,2
4449978,10,11,1
3424088,10,11,1
4555040,10,12,3
4617940,10,-16,26
2129338,10,12,3
1090517,10,10,1
4615696,10,12,3
3427002,10,12,3
5169321,10,9,1
4562049,10,13,4
4615592,10,10,1
4620619,10,8,2
2128688,10,11,2
4605354,10,12,3
2126612,10,11,2
3399967,9,10,1
2129349,9,13,4
2128743,9,10,1
4519813,9,12,3
5167676,9,19,11
2006991,9,10,1
3399410,9,11,2
5169741,9,19,11
5169217,9,9,1
3399408,9,11,2
1090971,9,9,1
4617192,9,8,1
2101565,9,10,2
4614944,9,12,4
4618364,8,16,8
1090509,8,13,5
2123238,8,14,6
1088258,8,8,1
3380793,8,9,2
5159977,8,7,2
2128988,8,14,6
4615044,8,8,1
4519691,8,12,5
5170352,8,8,1
1795013,7,20,13
1795001,7,36,29
3421317,7,7,1
1084590,7,10,4
1086433,7,8,1
5169218,7,5,2
5169219,6,7,2
4607809,6,7,2
4795034,5,25,20
4439598,4,5,1
1795027,3,74,72
1795020,3,19,17
1090166,2,-1,3
4615204,2,10,9
