bin,planimetrics_height,planimetrics_spot_height_calc,height_diff
1090245,77,81,4
1090496,86,87,2
1091585,252,250,2
1090574,361,362,2
1090871,31,29,2
1004520,67,67,1
1090946,232,238,6
1090872,35,29,7
1090164,115,117,3
1000039,46,50,4
1089688,240,228,12
1090203,170,169,2
1088303,150,150,1
1089839,62,59,3
1090472,303,305,2
1089765,56,57,2
1090299,78,85,7
1088645,86,83,4
1026799,69,74,5
1090546,215,214,2
1090247,42,37,6
1014279,149,151,3
1089791,595,597,2
1088291,80,79,1
1090508,11,0,12
1060055,13,15,2
1090526,781,780,1
1090323,65,66,1
1090397,321,314,8
1090115,727,729,2
1083924,12,23,11
1089722,609,610,1
1090590,17,17,1
1090399,193,191,3
1089723,456,447,10
1090417,260,257,3
1090427,43,45,3
1090771,45,43,3
1089878,20,20,1
1089717,322,321,1
1090840,21,24,3
1090837,21,25,5
1090920,313,318,6
1089785,106,113,7
1085631,16,16,1
1090761,170,171,2
1088841,497,498,1
1090308,85,85,1
1089690,55,54,1
1089762,225,227,2
1089701,456,457,1
1075697,37,38,2
1087858,110,110,1
1003822,11,12,2
1084666,110,114,4
1090324,73,74,1
1089857,56,57,2
1082663,12,15,3
1089849,68,64,5
1090098,76,76,1
1090484,99,98,2
1086891,13,15,2
1090160,21,24,3
1090970,14,16,3
1090877,77,77,1
1090463,252,250,3
1090838,17,21,5
1088371,74,76,2
1090174,424,419,5
1090864,39,35,5
1090470,90,84,7
1088982,161,161,1
1090159,82,82,1
1089716,336,333,3
1088687,168,169,1
1090167,15,-3,19
1090430,17,19,2
1090418,64,64,1
1043909,81,84,3
1090545,235,235,1
1024961,14,14,1
1090505,11,12,1
1088067,20,19,1
1090528,219,221,3
1090879,144,139,5
1090878,143,128,15
1038914,91,87,5
1089665,65,66,1
1090841,17,18,2
1090849,67,67,1
1090640,70,63,7
1090233,691,691,1
1089880,176,191,15
1090778,24,22,3
1088961,1265,1254,12
1090144,76,77,1
1090398,101,100,1
1089737,69,73,4
1090642,553,556,4
1089859,98,98,1
1080207,42,42,1
1089855,56,56,1
1089838,93,93,1
1090537,106,108,2
1078922,11,6,5
1089854,50,48,3
1090426,39,44,5
1089766,55,56,1
1090432,68,68,1
1046293,210,210,1
1089362,85,85,1
1090510,19,16,4
1090330,76,76,1
1090488,96,99,4
1090852,29,30,2
1089474,173,166,7
1089870,61,61,1
1089837,121,122,1
1089856,57,57,1
1090822,98,99,1
1090711,387,389,3
1089382,207,207,1
1090190,444,443,2
1006763,17,17,1
1089848,50,45,5
1089764,61,57,4
1090431,25,29,4
1090429,29,31,2
1090715,65,67,2
1090507,14,13,1
1090248,23,22,1
1089911,76,76,1
1089989,75,77,3
1090789,77,76,2
1089972,998,997,1
1002429,57,61,4
1052432,15,17,2
1043908,81,82,1
1089803,533,529,5
1090420,82,81,1
1001991,11,13,2
1090425,20,25,5
1007348,99,93,7
1003693,31,29,3
1090246,25,29,4
1089884,13,14,1
1051260,233,231,2
1089378,83,83,1
1083034,132,145,14
1090182,86,89,3
1090696,84,74,10
1090428,29,31,2
1089832,111,112,1
1089763,60,57,3
1090394,28,26,2
1089961,125,126,2
1090588,81,80,1
1048704,51,47,4
1090118,111,105,7
1089703,165,163,3
1090444,92,95,3
1090839,31,31,1
2128724,30,31,2
2128205,40,43,4
2129512,12,17,5
2129351,12,12,1
2124630,45,41,5
2127514,40,40,1
2127513,39,40,1
2127400,34,38,4
2127399,37,41,4
2127397,37,42,5
2124624,37,40,4
2124625,40,40,1
2124541,29,36,7
2004285,134,131,3
2124512,25,29,4
2128970,139,136,4
2056709,35,32,4
2127738,38,34,5
2128705,11,12,2
2127398,38,41,4
2127357,38,42,4
2127340,38,38,1
2127346,34,36,3
2127341,38,40,2
2128434,65,46,19
2129476,28,29,1
2127132,29,35,7
2124526,47,41,6
2129071,82,83,2
2046957,18,23,5
2127401,34,38,4
2127353,33,37,4
2088595,12,10,3
2057549,25,19,6
2077866,40,37,4
2127004,66,68,2
2128483,69,71,2
2100650,25,17,9
2028346,21,23,2
2129276,29,20,9
2094840,30,28,3
2086645,12,16,4
2124647,65,68,4
2127131,120,124,5
2129010,75,75,1
2127344,32,34,2
2127352,33,37,4
2127350,33,36,3
2128617,54,51,4
2128986,16,18,2
2127120,28,28,1
2129051,11,16,6
2004721,55,57,2
2129538,12,17,5
2129340,17,15,2
2124443,56,60,5
2128702,46,47,1
2128043,27,26,1
2128712,41,41,1
2127343,38,40,3
2127354,34,37,4
2127349,34,36,3
2124540,30,36,6
2128993,16,16,1
2129330,48,49,1
2128990,11,11,1
2129068,55,56,2
2129522,54,41,13
2129054,11,12,1
2129273,37,40,3
2128710,11,10,1
2128643,11,11,1
2127351,33,36,3
2127277,18,20,2
2077865,41,37,4
2015123,12,12,1
2128327,114,113,1
