bin,doitt_id,created_date,last_edited_date,height_roof,planimetrics_height,height_difference
1089960,1288804,2019-03-21,2019-08-16,485.00000000,169.74444593,315.25555407
1004126,1292517,2020-05-27,2020-06-08,105.34000000,71.17274566,34.16725434
1090389,1282695,2017-10-25,2017-10-25,145.00000000,166.12246808,21.12246808
1090675,1288273,2019-01-23,2019-08-16,160.00000000,175.84468315,15.84468315
1090896,1291852,2020-01-16,2020-01-16,57.00000000,54.86840000,2.13160000
1090192,1280017,2017-04-20,2017-11-22,778.00000000,737.10123501,40.89876499
1090196,1287705,2018-11-19,2018-11-19,67.00000000,69.99924473,2.99924473
1083192,1286279,2018-08-22,2018-08-22,11.00000000,14.60299236,3.60299236
1015052,1284464,2018-04-24,2018-04-24,213.00000000,218.43346196,5.43346196
1063162,1285955,2018-08-06,2018-12-07,31.44000000,28.69194067,2.74805933
1090772,1285956,2018-08-06,2018-12-20,10.40000000,9.59123505,0.80876495
1082350,1291360,2019-11-26,2019-12-05,196.00000000,190.28157320,5.71842680
1090486,1283504,2018-01-04,2022-05-24,95.00000000,101.51495776,6.51495776
1046967,1281126,2017-06-02,2017-08-22,85.04000000,81.59676061,3.44323939
1083707,1278338,2017-03-01,2017-08-22,28.16000000,40.25583699,12.09583699
1090443,1290459,2019-08-27,2023-07-13,511.00000000,506.33148421,4.66851579
1090635,1284736,2018-05-17,2023-07-13,162.00000000,181.10986159,19.10986159
1090387,1282288,2017-09-18,2023-07-14,410.00000000,404.07574382,5.92425618
1089828,1284192,2018-03-21,2023-07-14,85.00000000,48.90048483,36.09951517
1076461,1283976,2018-02-22,2018-12-20,11.00000000,13.35854888,2.35854888
1090774,1284001,2018-02-23,2018-12-20,17.00000000,15.50538376,1.49461624
1089325,1284018,2018-02-26,2018-02-26,103.00000000,101.68858457,1.31141543
1090596,1284013,2018-02-26,2018-12-07,74.00000000,65.20625810,8.79374190
1089702,1283909,2018-02-20,2018-02-20,85.00000000,87.34053146,2.34053146
1089388,1283927,2018-02-21,2018-02-21,44.00000000,64.78187372,20.78187372
1090618,1285096,2018-06-12,2018-11-05,89.00000000,243.28328367,154.28328367
1088871,1284964,2018-05-29,2024-05-03,301.00000000,302.55341594,1.55341594
1090165,1280749,2017-05-08,2017-10-03,196.00000000,220.48238485,24.48238485
1018013,1290461,2019-08-27,2019-08-27,145.00000000,249.83918704,104.83918704
1090390,1288650,2019-03-12,2020-01-23,132.00000000,151.37850325,19.37850325
1090825,1284912,2018-05-24,2023-07-18,1401.00000000,1272.84170320,128.15829680
1090672,1291244,2019-11-15,2019-12-05,85.00000000,58.20547630,26.79452370
1090700,1286370,2018-08-27,2019-01-22,120.00000000,120.04009012,0.04009012
1090264,1281264,2017-06-13,2019-01-22,80.00000000,82.38182113,2.38182113
1090585,1284367,2018-04-18,2019-01-22,92.00000000,94.65958236,2.65958236
1090251,1284465,2018-04-24,2019-01-22,85.00000000,98.36855664,13.36855664
1090404,1284739,2018-05-17,2019-01-22,361.00000000,353.03601713,7.96398287
1090826,1288266,2019-01-23,2019-08-16,145.00000000,130.88287428,14.11712572
1090817,1289915,2019-06-26,2019-08-16,185.00000000,218.69299162,33.69299162
1019158,1290694,2019-09-23,2019-12-05,60.00000000,67.39696696,7.39696696
1090184,1277640,2017-02-17,2019-10-31,952.00000000,951.07718984,0.92281016
1090729,1288816,2019-03-21,2023-07-19,60.00000000,65.14280477,5.14280477
1014986,1290984,2019-10-24,2019-12-05,85.00000000,477.79315768,392.79315768
1090580,1285208,2018-06-20,2019-12-04,88.00000000,75.54275118,12.45724882
1090218,1292395,2020-04-03,2023-07-17,80.00000000,82.58318993,2.58318993
1090661,1292498,2020-05-18,2024-05-03,327.00000000,328.73716204,1.73716204
1013740,1293497,2020-11-19,2023-07-17,75.00000000,79.52866236,4.52866236
1090751,1287684,2018-11-15,2019-01-22,29.00000000,40.56065092,11.56065092
1090662,1291822,2020-01-15,2024-05-03,294.00000000,273.76610188,20.23389812
1090786,1293615,2020-12-16,2023-07-17,349.00000000,335.10004801,13.89995199
1091671,1294316,2021-04-19,2024-05-07,637.00000000,608.08539779,28.91460221
1090848,1294809,2021-06-27,2021-06-27,210.00000000,214.59952709,4.59952709
1090671,1290514,2019-09-03,2021-06-15,165.00000000,323.52289754,158.52289754
1091693,1283674,2018-02-06,2021-11-29,135.00000000,155.38659800,20.38659800
1090163,1295340,2021-09-08,2023-01-20,128.00000000,156.80765935,28.80765935
1090708,1288800,2019-03-21,2019-10-21,194.00000000,228.38165106,34.38165106
1030896,1282118,2017-09-05,2018-12-07,221.00000000,214.83915541,6.16084459
1088670,1284034,2018-02-27,2018-02-27,69.00000000,63.47470390,5.52529610
1087151,1287646,2018-11-09,2018-11-09,42.00000000,25.23320354,16.76679646
1090897,1291851,2020-01-16,2020-01-16,57.00000000,54.08510001,2.91489999
1090776,1292454,2020-05-04,2024-05-03,94.00000000,69.69086817,24.30913183
1090379,1287997,2018-12-12,2018-12-12,203.00000000,227.87964576,24.87964576
1090730,1287043,2018-10-04,2018-10-05,60.00000000,63.12466404,3.12466404
1090329,1284523,2018-04-30,2018-04-30,192.00000000,189.56689593,2.43310407
1090597,1284573,2018-05-07,2018-05-11,257.00000000,262.98937703,5.98937703
1089291,1283901,2018-02-20,2021-10-13,80.00000000,85.83311487,5.83311487
1090478,1283924,2018-02-21,2019-12-04,68.00000000,69.38024899,1.38024899
1090712,1287602,2018-11-08,2018-11-08,90.00000000,86.01766809,3.98233191
1090217,1279549,2017-04-03,2022-01-07,135.00000000,135.11710527,0.11710527
1090415,1282647,2017-10-18,2017-10-18,213.00000000,205.88512467,7.11487533
1090460,1283256,2017-12-11,2021-12-13,144.00000000,146.64606976,2.64606976
1090451,1283104,2017-11-27,2023-07-20,246.00000000,295.13710228,49.13710228
1089769,1284261,2018-03-29,2023-04-06,459.00000000,461.58013353,2.58013353
1088835,1284072,2018-03-09,2018-03-09,80.00000000,82.58190933,2.58190933
1080015,1282167,2017-09-07,2017-09-07,34.99494118,31.29244119,3.70249999
1090252,1283938,2018-02-22,2018-02-22,75.00000000,71.75846184,3.24153816
