bin,doitt_id,created_date,last_edited_date,planimetrics_height
1090872,1288511,2019-02-27,2019-08-16,28.17719314
1090164,1282498,2017-10-02,2017-10-02,116.44625425
1000039,1286468,2018-08-29,2018-08-29,49.13117560
1795044,1287483,2018-10-26,2018-10-26,316.48859370
1089688,1280932,2017-05-17,2017-08-22,227.90804089
1090203,1279322,2017-03-17,2022-09-21,168.62268621
1088303,1276592,,2017-08-22,149.39742804
1089839,1273017,,2017-08-10,58.80352085
1090472,1284733,2018-05-16,2018-05-16,304.22119586
1089765,1282736,2017-11-01,2017-11-01,56.79498368
1090299,1281894,2017-08-11,2018-12-13,84.14762919
1088645,1284012,2018-02-26,2018-02-26,82.81036242
1026799,1285257,2018-06-26,2018-06-26,73.37416036
1090546,1283687,2018-02-08,2018-02-08,213.56975224
1090506,1283745,2018-02-09,2018-02-09,-52.57893189
1090247,1281379,2017-06-27,2017-08-10,36.10658332
1014279,1284914,2018-05-24,2018-05-24,150.94093785
1090574,1284045,2018-02-28,2019-01-22,361.70172904
1090871,1290016,2019-07-22,2019-08-16,28.91047853
1004520,1291862,2020-01-17,2020-01-17,66.12306032
1090946,505823,,2020-08-10,237.28617660
1090245,1281378,2017-06-27,2017-08-22,80.72674980
1090496,1272519,,2019-12-17,86.88108505
1090854,1289106,2019-04-12,2021-06-07,0.13476837
1091585,1294644,2021-06-09,2022-03-21,249.94315451
1089722,1272399,,2017-08-22,609.33196923
1090590,1286950,2018-10-01,2018-10-01,16.81249064
1090399,1282494,2017-10-02,2017-10-02,190.40246475
1089723,1272858,,2018-12-07,446.13028779
1090417,1282710,2017-10-30,2018-05-11,256.93541467
1090427,1283179,2017-12-05,2017-12-05,44.13631265
1090771,1283864,2018-02-15,2018-12-20,42.14863242
1089878,1273005,,2021-03-18,19.41816284
1090840,1288659,2019-03-13,2019-08-16,23.18376235
1090837,1288662,2019-03-13,2019-08-16,24.35590162
1089717,1272520,,2019-02-25,320.05298252
1089791,1272401,,2019-01-22,596.11440984
1090526,1262645,,2021-09-30,779.70033866
1090323,1281572,2017-07-18,2019-01-24,65.27277397
1090397,1282549,2017-10-03,2019-01-22,313.57003099
1090115,1286114,2018-08-13,2019-10-23,728.03544035
1083924,1273200,,2017-08-10,22.38022718
1088291,1273008,,2018-06-11,78.95074600
1090508,1283773,2018-02-12,2021-03-01,-0.94264790
1060055,1283720,2018-02-09,2021-03-29,14.27904009
1084666,1272494,,2017-08-22,113.68610698
1090324,1281569,2017-07-18,2018-01-08,73.59123612
1089857,1286990,2018-10-03,2018-10-03,56.81310000
1090970,1294112,2021-03-09,2021-04-05,15.83953807
1082663,1273270,,2017-08-22,14.32029609
1089849,1273016,,2017-08-10,63.54414715
1090098,1282987,2017-11-22,2017-11-22,75.97900138
1090484,1285266,2018-06-26,2018-06-26,97.16634559
1086891,1283740,2018-02-09,2023-12-12,14.55768259
1090160,1288435,2019-02-15,2019-08-16,23.00301048
1090877,1290801,2019-10-08,2019-12-04,76.04291819
1090463,1290796,2019-10-08,2019-12-04,249.38389228
1090838,1288663,2019-03-13,2019-08-16,20.27630760
1090920,1292574,2020-06-04,2020-06-04,317.75974607
1089785,1281891,2017-08-11,2019-10-17,112.21957914
1088841,1281401,2017-06-29,2019-01-22,497.37091478
1090308,1090308,2017-06-29,2019-01-22,84.03610254
1089690,1281874,2017-08-10,2019-01-22,53.78360615
1089762,1273007,,2019-01-22,226.72766627
1089701,1262136,,2019-01-22,456.01671957
1075697,1289765,2019-06-14,2019-08-16,37.76452449
1087858,1276856,,2019-10-24,109.56995739
1003822,1290544,2019-09-09,2019-12-05,11.46921926
1085631,1283734,2018-02-09,2023-12-12,15.10653214
1090761,1295339,2021-09-08,2021-09-08,170.37811071
1088982,1272393,,2017-08-22,160.95242618
1090159,1284915,2018-05-24,2018-05-24,81.60724169
1089716,1288500,2019-02-25,2019-08-16,332.81254902
1090470,1281236,2017-06-12,2019-02-15,83.24664863
1088258,1276684,,2017-08-10,7.85083499
1088687,1272517,,2018-08-29,168.60221113
1090167,1276244,,2017-08-22,-3.98471257
1795013,1273170,,2017-08-10,19.46914101
1795027,1273172,,2022-05-26,73.53525442
1090430,1283177,2017-12-05,2017-12-05,18.25556026
1090418,1283979,2018-02-23,2018-02-23,63.90047613
1043909,1284967,2018-05-29,2018-05-29,83.09526846
1090545,1283688,2018-02-08,2018-02-08,234.28509976
1024961,1283718,2018-02-09,2023-12-12,13.01308722
1090505,1283744,2018-02-09,2018-02-12,11.13075674
1088067,1281393,2017-06-28,2017-08-22,18.62993478
1090528,1281377,2017-06-27,2019-03-21,220.65671142
1090879,1290794,2019-10-08,2019-12-04,138.53053210
1090878,1290802,2019-10-08,2019-12-04,127.61761361
1090841,1288658,2019-03-13,2019-08-16,17.81090127
1038914,1262491,,2018-07-30,86.35123124
1089665,1262667,,2018-07-24,65.66499184
1090849,1285154,2018-06-18,2019-03-11,66.76730448
1090509,1283777,2018-02-12,2019-04-19,12.89809830
1090174,1280943,2017-05-22,2019-01-22,418.39593080
1090864,1285264,2018-06-26,2020-03-24,34.52864595
1088371,1281864,2017-08-07,2019-12-04,75.11880206
1090642,1288512,2019-02-27,2019-08-16,555.93990228
1089859,1277057,,2019-02-20,97.80393954
1080207,1286081,2018-08-10,2018-08-10,41.33642835
1089855,1286988,2018-10-03,2018-10-03,55.76325074
1089838,1273013,,2017-08-22,92.91418010
1090537,1283912,2018-02-20,2019-12-04,107.44346418
1090166,1276102,,2017-08-22,-1.12312660
1078922,1273248,,2017-08-10,5.45761554
1795020,1273171,,2018-12-07,18.97079363
1089854,1273014,,2018-05-14,47.47208428
1089362,1285262,2018-06-26,2022-04-07,84.56561596
1090426,1283180,2017-12-05,2017-12-05,43.34303350
1089766,1282737,2017-11-01,2017-11-01,55.18150883
1090432,1283174,2017-12-05,2017-12-05,67.51752348
1046293,1285260,2018-06-26,2018-06-26,209.48754053
1090510,1283781,2018-02-12,2018-02-12,15.27113817
1090330,1281531,2017-07-13,2018-12-07,75.57719667
1090488,850811,,2018-12-07,98.50233350
1090852,1288661,2019-03-13,2019-08-16,29.94287799
1090248,1281380,2017-06-27,2017-08-10,21.55755540
1090233,1281544,2017-07-14,2019-01-22,690.37304651
1089880,1283960,2018-02-22,2019-01-22,190.73830836
1090778,1284030,2018-02-27,2019-01-22,21.13938137
1088961,1284821,2018-05-21,2019-01-22,1253.07568458
1090144,1282495,2017-10-02,2019-01-22,76.19156867
1090398,1282547,2017-10-03,2019-01-22,99.71171236
1089737,1290725,2019-09-25,2023-02-09,72.82341863
1090640,1285174,2018-06-19,2019-12-04,62.99431652
1090158,1276887,,2019-03-15,381.63836960
1089870,1272959,,2017-08-22,60.46378634
1089837,1273011,,2018-08-22,121.66836842
1089856,1286989,2018-10-03,2018-10-03,56.45325074
1090822,1289927,2019-06-26,2019-12-04,98.28001792
1090711,1287603,2018-11-08,2018-11-08,388.87040001
1089382,1280934,2017-05-18,2017-08-22,206.83744336
1090190,1278871,2017-03-08,2018-12-19,442.18762309
1006763,1273272,,2017-08-22,16.40013524
1089848,1273015,,2017-08-10,44.63187035
1090433,1283175,2017-12-05,2017-12-08,28.56009015
1089764,1282739,2017-11-01,2018-12-07,56.79498368
1090431,1283171,2017-12-05,2017-12-05,28.37026119
1090429,1283173,2017-12-05,2017-12-05,30.01637052
1090715,1284010,2018-02-26,2018-10-03,66.55279532
1090338,1281783,2017-07-27,2017-08-22,80.22676359
1090507,1283771,2018-02-12,2023-12-12,12.98585073
1089911,1273203,,2019-01-22,75.05986714
1089989,1286082,2018-08-10,2019-03-05,76.59605457
1089474,1294638,2021-06-07,2021-06-07,165.90890542
1089803,1272481,,2017-08-22,528.43859249
1001991,1282445,2017-09-28,2017-09-28,12.01198644
1090420,1282896,2017-11-17,2017-11-17,80.44350401
1089861,1272866,,2018-07-25,12.19732228
1795001,1273167,,2017-08-10,35.85967745
1090425,1283178,2017-12-05,2017-12-05,24.47946438
1007348,1282740,2017-11-01,2017-11-01,92.07611148
1090517,1283804,2018-02-12,2023-12-12,9.66280299
1003693,1285259,2018-06-26,2018-06-26,28.40250411
1043908,1284966,2018-05-29,2018-05-29,81.33848738
1090246,1256145,,2017-08-22,28.83174980
1086433,1290490,2019-08-29,2019-12-05,7.34415238
